实验编号,序号,作物名称,种质名称,科名,属名,种名或亚种名,原产地,原产省,原产国,来源地,资源类型,主要特性,生育周期,系谱,选育单位,育成年份,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,图像,抗旱性鉴定结果,保存单位,库编号,圃编号,引种号,采集号,保存资源类型,保存方式,实物状态,共享方式,获取途径,联系方式
17,YAAS0012,水稻,毫解戛,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,012(046)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
23,YAAS0013,水稻,毫勐囡,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,014(305)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
24,YAAS0014,水稻,毫磨牙,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),瑞丽县,云南,中国,云南昆明,地方品种,,1年生,,,, 773, 9751,2401,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,018(052)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
26,YAAS0015,水稻,大花壳,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(028)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
31,YAAS0016,水稻,啊树谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,001(001)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
33,YAAS0017,水稻,黄壳糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,014(173)-1-1/2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
35,YAAS0018,水稻,毫勐旺,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,002(037)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
36,YAAS0019,水稻,毫冬囡,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,014(121)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
37,YAAS0020,水稻,老造谷(一),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,001(015)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
39,YAAS0021,水稻,紫谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(376)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
41,YAAS0022,水稻,小芒种,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(354)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
42,YAAS0023,水稻,红心糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(321)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
43,YAAS0024,水稻,毫查坑,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),西盟县,云南,中国,云南昆明,地方品种,,1年生,,,,1940, 9927,2244,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,004(007)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
45,YAAS0025,水稻,毫糯好,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,014(088)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
46,YAAS0026,水稻,毫动,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,014(054)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
51,YAAS0027,水稻,大红谷(一),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(096)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
56,YAAS0028,水稻,细谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(419)-2-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
59,YAAS0029,水稻,白高梁,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,003(124)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
63,YAAS0030,水稻,毫转(二),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,002(085)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
65,YAAS0031,水稻,黑山谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,010(279)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
66,YAAS0032,水稻,鸡血谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,003(110)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
67,YAAS0033,水稻,冲腿,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),西盟县,云南,中国,云南昆明,地方品种,,1年生,,,,1940, 9927,2244,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,004(014)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
73,YAAS0034,水稻,细赤谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),普洱县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10117,2302,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,006(083)-2-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
75,YAAS0035,水稻,小花糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,010(390)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
76,YAAS0036,水稻,毫来麻薄(三),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,002(114)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
77,YAAS0037,水稻,白雾露谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,001(073)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
78,YAAS0038,水稻,失名,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,001(076)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
80,YAAS0039,水稻,黑节巴谷(二),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,001(018)-4-1B,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
82,YAAS0040,水稻,毫冷鼋,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,012(073)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
85,YAAS0041,水稻,旧地谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),普洱县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10117,2302,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,006(099)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
86,YAAS0042,水稻,接骨糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,003(013)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
87,YAAS0043,水稻,长毛背子谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(187)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
90,YAAS0044,水稻,陆曼亲,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(418)-2-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
91,YAAS0045,水稻,切些谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,012(082)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
92,YAAS0046,水稻,香紫糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,012(002)-4-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
98,YAAS0047,水稻,造谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(318)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
100,YAAS0048,水稻,毫闷俩,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),盈江县,云南,中国,云南昆明,地方品种,,1年生,,,, 820, 9756,2442,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,021(022)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
101,YAAS0049,水稻,细老鸦翎,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),耿马县,云南,中国,云南昆明,地方品种,,1年生,,,,1125, 9924,2332,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,029(111)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
102,YAAS0050,水稻,红早糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,014(312)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
103,YAAS0051,水稻,二早谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),盈江县,云南,中国,云南昆明,地方品种,,1年生,,,, 820, 9756,2442,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,021(038)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
104,YAAS0052,水稻,毫糯浪,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),沧源县,云南,中国,云南昆明,地方品种,,1年生,,,,1260, 9916,2309,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,027(033)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
106,YAAS0053,水稻,背子谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,014(287)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
110,YAAS0054,水稻,黑地糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),广南县,云南,中国,云南昆明,地方品种,,1年生,,,,1450,10513,2412,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,034(118)-4-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
111,YAAS0055,水稻,安皮谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),镇康县,云南,中国,云南昆明,地方品种,,1年生,,,, 920, 9858,2404,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,030(089)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
113,YAAS0056,水稻,大白谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),盈江县,云南,中国,云南昆明,地方品种,,1年生,,,, 820, 9756,2442,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,021(029)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
114,YAAS0057,水稻,弯谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),开远市,云南,中国,云南昆明,地方品种,,1年生,,,,1065,10315,2342,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,044(014)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
115,YAAS0058,水稻,玉溪红谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),永德县,云南,中国,云南昆明,地方品种,,1年生,,,,1580, 9915,2402,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,024(140)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
117,YAAS0059,水稻,珍白18,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),西双版纳,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,013(001)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
118,YAAS0060,水稻,红谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,012(083)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
123,YAAS0061,水稻,毫母累一勐托,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),盈江县,云南,中国,云南昆明,地方品种,,1年生,,,, 820, 9756,2442,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,021(006)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
127,YAAS0062,水稻,毫糯俩,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),盈江县,云南,中国,云南昆明,地方品种,,1年生,,,, 820, 9756,2442,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,021(004)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
128,YAAS0063,水稻,干地谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),屏边县,云南,中国,云南昆明,地方品种,,1年生,,,,1300,10341,2259,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,047(105)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
132,YAAS0064,水稻,乌咀谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),屏边县,云南,中国,云南昆明,地方品种,,1年生,,,,1300,10341,2259,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,047(031)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
135,YAAS0065,水稻,九谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),屏边县,云南,中国,云南昆明,地方品种,,1年生,,,,1300,10341,2259,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,047(029)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
138,YAAS0066,水稻,毫海(四),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,014(185)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
